epoch,accuracy,loss,val_accuracy,val_loss
0,0.7519999742507935,0.8019571900367737,0.5525000095367432,1.2092798948287964
1,0.8270000219345093,0.44303855299949646,0.8137500286102295,0.480300635099411
2,0.8629999756813049,0.32698583602905273,0.8700000047683716,0.3222203552722931
3,0.9020000100135803,0.2536952793598175,0.7875000238418579,0.7153761386871338
4,0.902999997138977,0.23230740427970886,0.887499988079071,0.3185737431049347
5,0.9290000200271606,0.2249213457107544,0.7875000238418579,0.750724732875824
6,0.9330000281333923,0.19707734882831573,0.9012500047683716,0.3393298089504242
7,0.953000009059906,0.1277228444814682,0.9075000286102295,0.3390277624130249
8,0.9559999704360962,0.13362060487270355,0.8974999785423279,0.40277063846588135
9,0.9700000286102295,0.0951729565858841,0.8687499761581421,0.5694848895072937
